medicineName,dosage,uses,details
Vinapotex 10 mg 14 Film Coated,10 MG,Pharmacological Agent,Vinpocetine
Vinax 30 Piece,,Nutritional supplement,Vitamin supplement
Vinax 30 Tab,,,Oral tablet formulation
Vinglight 60 Gummies,60 G,Nutritional supplement,Vitamin supplement
Vino B12 30 Sublingual,,Nutritional supplement,Vitamin B12
Vinomax 30 Gm Cream,"30 G, 30 G",,Topical cream formulation
Vinosin 50 Gm Cream,"50 G, 50 G",,Topical cream formulation
Vinporal 5 mg 20,5 MG,Pharmacological Agent,Vinpocetine
Vinracine 1 Mg / 1 Ml (Vincrestine) 5 Vial,"1 MG, 1 ML, 1 ML",,Parenteral formulation
Vinracine 2 Mg / 2 Ml (Vincrestine) 1 Vial,"2 MG, 2 ML, 2 ML",,Parenteral formulation
Viocalcimin 30,,Nutritional supplement,Calcium supplement
Viocyst 30 Film Coated,,Pharmacological Agent,L-carnitine
Viocyst 60,,Pharmacological Agent,L-carnitine
Viola 120 Gm Hair Mask,"120 G, 120 G",,Pharmaceutical preparation
Violdy 30 Film Coated,,Pharmacological Agent,L-carnitine
Viotic Ear,,Pharmacological Agent,Antiseptic
Viotic Ear Drops 10 Ml,"10 ML, 10 ML",,Ophthalmic/otic drops
Viracure ( Ribavirin ) 400 Mg 12 Cap,400 MG,,Oral capsule formulation
Viracure 400 mg 12,400 MG,"Herpes infections, Antiviral",Acyclovir
Viradin Spray 60 Ml,"60 ML, 60 ML",,Spray formulation
Viread 300 mg 30,300 MG,Pharmacological Agent,Tenofovir
Virecta 100 mg 12 Film Coated,100 MG,PDE5 Inhibitor,Sildenafil
Virustat 200 Mg / 5 Ml Susp 120 Ml,"200 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Pharmaceutical preparation
Virustat 200 mg/5 ml Oral Susupension 120 ml,"200 MG, 5 ML, 120 ML","Herpes infections, Antiviral",Acyclovir
Virustat 5% 5 Gm Cream,"5 G, 5 G, 5%",,Topical cream formulation
Visanne 2 mg 28,2 MG,Pharmacological Agent,Dienogest
Viscera 10 Mg / 5 Ml Syrup 120 Ml,"10 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Viscera 5 Mg / 2 Ml 3 Amp,"5 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Viscera 5 mg/2 ml 3,"5 MG, 2 ML",Pharmacological Agent,Hyaluronidase
Visceralgine,,Pharmacological Agent,Drotaverine
Visceralgine 10 Mg / 5 Ml Syrup 120 Ml #,"10 MG, 5 ML, 120 ML, 5 ML, 120 ML",,Oral liquid formulation
Visceralgine 20 Mg 6 Supp,20 MG,,Rectal suppository formulation
Visceralgine 20 mg 6 Suppositories,20 MG,Pharmacological Agent,Drotaverine
Visceralgine 5 Mg / 2 Ml 6 Amp (2516),"5 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Visceralgine 50 Mg 20 Tab,50 MG,,Oral tablet formulation
Visceralgine 6,,Pharmacological Agent,Drotaverine
Viscoplus 1 Syringe (Fridge),,Pharmacological Agent,Sodium hyaluronate
Viscoplus 20 Mg / 2 Ml Pre-Filled Syringe,"20 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Viscoplus Matrix 75 Mg / 3 Ml Pre-Filled Syringe,"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Visine - A - C Eye,,Pharmacological Agent,Eye drops
Visine - A - C Eye Drops 15 Ml,"15 ML, 15 ML",,Ophthalmic/otic drops
Visine Original 0.05% Eye Drops 15 Ml,"15 ML, 15 ML, 0.05%",,Ophthalmic/otic drops
Vismed 20 Single Dose Units ? 0.3 ml,0.3 ML,Pharmacological Agent,Eye lubricant
Vismed Gel 20 Single Dose Units ? 0.45 ml,0.45 ML,Pharmacological Agent,Eye gel
Vismed Multi 0.18% Eye Drops 10 Ml,"10 ML, 10 ML, 0.18%",,Ophthalmic/otic drops
Vismed Multi Eye,,Pharmacological Agent,Eye lubricant
Vismed Multi Gel 10 ml,10 ML,Pharmacological Agent,Eye gel
Visolerge Eye,,Pharmacological Agent,Eye drops
Vita - D Cell (D3 400 Iu/Drop) Oral Drops 15 Ml,"15 ML, 15 ML, 400 IU",,Ophthalmic/otic drops
Vita - Plus Zinc 20 Cap,,Mineral Supplement,Zinc - Essential mineral for immune function
Vita - Stress 20 Tab,,,Oral tablet formulation
Vita Care Activated Methyl B12 30 Chewable,,Nutritional supplement,Vitamin B12
Vita Care Advanced Omega + DHA 30 Gummies,30 G,Pharmacological Agent,Omega-3 fatty acids
Vita Care Apple Vinegar Complex 30,,Nutritional supplement,Apple vinegar supplement
Vita Care Magne Calm 30 Vegetable,,Nutritional supplement,Magnesium supplement
Vita Care Max Omega-Care 30 Softgels,,Pharmacological Agent,Omega-3 fatty acids
Vita Care Super Collagen 60,,"Joint health, Skin health",Collagen supplement
Vita Care Teddy Vites 30 Gummies,30 G,Nutritional supplement,Vitamin supplement
Vita Care Vitamin C 30 Gummies,30 G,Vitamin C (Antioxidant),Ascorbic acid
Vita Care Vitamin D3 10000 IU 30 Softgels,10000 IU,Vitamin D3,Cholecalciferol
Vita Hair 60,,Nutritional supplement,Hair supplement
Vita Launch,,Nutritional supplement,Vitamin supplement
Vita Poly Oral,,Nutritional supplement,Vitamin supplement
Vita-D Cell Oral,,"Bone health, Calcium absorption",Vitamin D supplement
Vita-Plus Zinc 20,,"Immune support, Wound healing",Zinc sulfate
Vitab Blast 30,,Nutritional supplement,Vitamin supplement
Vitabalm Moisturizer Cream 100 Ml,"100 ML, 100 ML",,Oral tablet formulation
Vitabella Chocolate 350 gm,350 G,Nutritional supplement,Nutritional supplement
Vitacare Activated Methyl B12 1000 Mcg 30 Chew. Tab,1000 MCG,,Oral tablet formulation
Vitacare Advanced Omega + Dha 30 Gummies,30 G,,Pharmaceutical preparation
Vitacare Advanced Probiotic 20 Cap,,,Oral capsule formulation
Vitacare Advanced Teddy Vites 30 Gummies,30 G,,Pharmaceutical preparation
Vitacare Advanced Vitamin C 250 Mg 30 Gummies,"250 MG, 30 G","Vitamin Supplement, Antioxidant","Vitamin C - Ascorbic acid, antioxidant"
Vitacare African Mango 1000 Mg 20 Cap,1000 MG,,Oral capsule formulation
Vitacare Apple Vinegar + Apple Vinegar (25%) #,25%,,Pharmaceutical preparation
Vitacare Garcinia Cambogia 1600 20 Cap,,,Oral capsule formulation
Vitacare Green Coffee 800 Mg Complex 20 Cap,800 MG,,Oral capsule formulation
Vitacare Magnecalm + Activated Methyl B12 (25%) #,25%,,Pharmaceutical preparation
Vitacare Magnecalm 200 Mg 30 Cap,200 MG,,Oral capsule formulation
Vitacare Max Omega + Vitamin D3 (25%) #,25%,Vitamin Supplement,Vitamin D - Bone health and calcium absorption
Vitacare Max Omega - Care 30 Cap,,,Oral capsule formulation
Vitacare Omega Dha + Teddy Vites (25%) #,25%,,Pharmaceutical preparation
Vitacare Organic Ashwagandha 30 Tab,,,Oral tablet formulation
Vitacare Raspberry Ketone Complex 20 Cap,,,Oral capsule formulation
Vitacare Super Collagen + Super Collagen (25%) #,25%,,Pharmaceutical preparation
Vitacare Super Collagen 60 Cap,,,Oral capsule formulation
Vitacare Teddy Vites + Teddy Vites (25%) #,25%,,Pharmaceutical preparation
Vitacare Turmeric Curcumin 1000 Mg 60 Cap,1000 MG,,Oral capsule formulation
Vitacare Vitamin C + Teddy Vites (25%) #,25%,"Vitamin Supplement, Antioxidant","Vitamin C - Ascorbic acid, antioxidant"
Vitacare Vitamin D3 10.000 I.u. 30 Cap,10.000 MG,Vitamin Supplement,Vitamin D - Bone health and calcium absorption
Vitacid (C) 1 gm 12 Effervescent,1 G,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vitacid (C) 500 mg 12 Effervescent Sachets,500 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vitacid - C - Eff 1 Gm 12 Tab,"1 G, 1 G",,Oral tablet formulation
Vitacid - C - Eff 500 Mg 12 Sachets 4 Gm,"500 MG, 4 G, 4 G",,Pharmaceutical preparation
Vitacid - C - Plus Eff 12 Tab,,,Oral tablet formulation
Vitacid Calcium 12 Effervescent,,Mineral Supplement,Calcium carbonate
Vitacid Calcium Eff 12 Tab,,Mineral Supplement,Calcium - Bone health mineral
Vitadapt Complete 90,,Nutritional supplement,Vitamin supplement
Vitaferrol 30 Cap,,,Oral capsule formulation
Vitalipid TM N Adult 1 Vial (Fridge),,"High cholesterol, Cardiovascular prevention",Atorvastatin
Vitalochoc 10 Sachets X 5 Gm,"5 G, 5 G",,Pharmaceutical preparation
Vitalochoc Plus 10 Sachets X 3 Gm,"3 G, 3 G",,Pharmaceutical preparation
Vitalox 50+ 30,,Nutritional supplement,Vitamin supplement
Vitalox 50+ 30 Tab (1+1 50%) #,50%,,Oral tablet formulation
Vitalox B12 Energy 10 Oral Amp X 7 Ml,"7 ML, 7 ML",,Pharmaceutical preparation
Vitalox B12 Energy 10 Oral Amp X 7 Ml (1+1 50%) #,"7 ML, 7 ML, 50%",,Pharmaceutical preparation
Vitalox B12 Energy 10 Oral Ampoles 7 ml,7 ML,"Stimulant, Pain relief enhancement",Caffeine + Vitamins
Vitalox Complete A - Z 30,,Nutritional supplement,Multivitamin supplement
Vitalox Complete A-Z 100 Tab,,,Oral tablet formulation
Vitalox Complete A-Z 30 Tab,,,Oral tablet formulation
Vitalox Eve (+ Aloe Vera) 30,,Nutritional supplement,Vitamin supplement
Vitalox Junior Liquid 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Vitalox Magnesium 8 Oral Amp X 30 Ml,"30 ML, 30 ML",,Pharmaceutical preparation
Vitalox Magnesium 8 Oral Amp X 30 Ml (1+1 50%) #,"30 ML, 30 ML, 50%",,Pharmaceutical preparation
Vitamax Plus 20,,Nutritional supplement,Vitamin supplement
Vitamax Plus 20 Cap #,,,Oral capsule formulation
VitaMerge 30 Sublingual,,Nutritional supplement,Vitamin supplement
Vitamin ( C ) 500 mg 30,500 MG,Nutritional supplement,Multivitamins
Vitamin - B - Complex 200 Tab ( 177597 ),,Vitamin Supplement,Oral tablet formulation
Vitamin - E - 1000 Mg 24 Cap #,1000 MG,Vitamin Supplement,Oral capsule formulation
Vitamin - E - 400 Mg 24 Cap,400 MG,Vitamin Supplement,Oral capsule formulation
Vitamin - E - Forte 400 I.u. 20 Cap,400 MG,Vitamin Supplement,Oral capsule formulation
Vitamin B12 1000 Mcg (Mepaco) 30 Tab,1000 MCG,Vitamin Supplement,Oral tablet formulation
Vitamin C - Sedico 10 Effervescent Packets,,Vitamin C (Antioxidant),Ascorbic acid
Vitamin C 500 Mg (Boston) 30 Tab,500 MG,"Vitamin Supplement, Antioxidant","Vitamin C - Ascorbic acid, antioxidant"
Vitamin D3 (Hp) 10.0000 I.u. 30 Cap,10.0000 MG,Vitamin Supplement,Vitamin D - Bone health and calcium absorption
Vitamin D3 (Liposomal Vit.d3) Oral Drops 15 Ml,"15 ML, 15 ML",Vitamin Supplement,Vitamin D - Bone health and calcium absorption
Vitamin D3 2000 IU 30 Film Coated,2000 IU,Vitamin D3,Cholecalciferol
Vitamin D3 5000 Iu (Alfa) 100 Cap,5000 IU,Vitamin Supplement,Vitamin D - Bone health and calcium absorption
Vitamin D3 5000 mg 30,5000 MG,Vitamin D3,Cholecalciferol
Vitamin D3 On Target 30,,Vitamin D3,Cholecalciferol
Vitamin D3 Oral,,Vitamin D3,Cholecalciferol
Vitamin E 450 mg 30,450 MG,Pharmacological Agent,Tocopherol
Vitaminat 30 Film Coated,,Nutritional supplement,Multivitamins
Vitaminat-Phyto,,Nutritional supplement,Multivitamins
Vitamo D Vitamin D3 10000 Unit 20,,Vitamin D3,Cholecalciferol
Vitamount ( Child- Adult ) Syrup 120 Ml,"120 ML, 120 ML",,Oral liquid formulation
Vitamount ( Children- Adult ),,Nutritional supplement,Vitamin supplement
Vitamount ( Men ) 10 Cap للرجال,,,Oral capsule formulation
Vitamount ( Men ) 15 Cap (34326) للرجال,,,Oral capsule formulation
Vitamount ( Women ) 15 Cap (34327) للسيدات,,,Oral capsule formulation
Vitamount ( Women) 15,,Nutritional supplement,Vitamin supplement
Vitaperfect 20 Soft Gelatine,,Nutritional supplement,Vitamin supplement
Vitascope Potassium,,Nutritional supplement,Potassium supplement
Vitasure Cream 30 gm,30 G,Pharmacological Agent,Topical cream
Vitatex,,Nutritional supplement,Vitamin supplement
Vitatrictol 20 Film Coated,,"Bone health, Calcium absorption",Vitamin D3
Vitatron 30,,Nutritional supplement,Vitamin supplement
Vitatron 30 Cap,,,Oral capsule formulation
Vitawell Magnesium Break Through 30,,Magnesium Supplement,Magnesium oxide
Vitayami 30 Tab,,,Oral tablet formulation
Vitonex 20 Cap,,,Oral capsule formulation
Vitonex 30 Cap لاغى,,,Oral capsule formulation
Vitosel,,Nutritional supplement,Vitamin supplement
Vitosel 10 gm 14 Sachets,10 G,Nutritional supplement,Vitamin supplement
Vitro 10 Sachets X 10 Gm,"10 G, 10 G",,Pharmaceutical preparation
Vitro Collagen & Vitamin C 7 Sachets,,"Joint health, Skin health",Collagen supplement
Vitronal 20,,Nutritional supplement,Vitamin supplement
Vividol 100 Gm Hair Cream,"100 G, 100 G",,Topical cream formulation
Vividol Hair Growth Lotion 150 Ml,"150 ML, 150 ML",,Pharmaceutical preparation
Vividol Perfecta Hair Oil 120 Ml,"120 ML, 120 ML",,Pharmaceutical preparation
Vividol Perfecta Hair Oil 250 Ml,"250 ML, 250 ML",,Pharmaceutical preparation
Vivolat 10 Sachets,,Nutritional supplement,Vitamin supplement
Vixadep 30 Sustained Release Film Coated,,Nutritional supplement,Vitamin supplement
Vixaport 30 Tab,,,Oral tablet formulation
Vizimpro 30 mg 30,30 MG,Pharmacological Agent,Dacomitinib
Vizimpro 45 mg 30,45 MG,Pharmacological Agent,Dacomitinib
Vocado 20 mg / 5 mg 14 Film Coated,"20 MG, 5 MG, 20 MG + 5 MG",Pharmacological Agent,Olmesartan + Amlodipine
Vocado 40 mg / 10 mg 14 Film Coated,"40 MG, 10 MG, 40 MG + 10 MG",Pharmacological Agent,Olmesartan + Amlodipine
Vocado 40 mg / 5 mg 14 Film Coated,"40 MG, 5 MG, 40 MG + 5 MG",Pharmacological Agent,Olmesartan + Amlodipine
Volitractin 500 mg 7 Film Coated,500 MG,"Pain relief, Anti-inflammatory",Diclofenac
Voltaren (SR) 100 mg 20,100 MG,"Pain relief, Anti-inflammatory",Diclofenac
Voltaren - S R - 100 Mg 20 Tab #,100 MG,,Oral tablet formulation
Voltaren 1% 100 Gm Emulgel,"100 G, 100 G, 1%",,Topical gel formulation
Voltaren 1% 25 Gm Emulgel,"25 G, 25 G, 1%",,Topical gel formulation
Voltaren 1% 50 Gm Emulgel,"50 G, 50 G, 1%",,Topical gel formulation
Voltaren 1% Emulgel 100 gm,"100 G, 1%","Pain relief, Anti-inflammatory",Diclofenac
Voltaren 1% Emulgel 25 gm,"25 G, 1%","Pain relief, Anti-inflammatory",Diclofenac
Voltaren 100 mg 10 Suppositories,100 MG,"Pain relief, Anti-inflammatory",Diclofenac
Voltaren 100 Mg Adult 10 Supp,100 MG,,Rectal suppository formulation
Voltaren 25 mg 5 Suppositories for Children,25 MG,"Pain relief, Anti-inflammatory",Diclofenac
Voltaren 25 Mg Children 5 Supp,25 MG,,Rectal suppository formulation
Voltaren 50 mg 20,50 MG,"Pain relief, Anti-inflammatory",Diclofenac
Voltaren 50 Mg 20 Tab #,50 MG,,Oral tablet formulation
Voltaren 75 Mg / 3 Ml 3 Amp (183123),"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Voltaren 75 Mg / 3 Ml 6 Amp (1402) #,"75 MG, 3 ML, 3 ML",,Pharmaceutical preparation
Voltaren Emulgel 50 gm,50 G,"Pain relief, Anti-inflammatory",Diclofenac
Voluven 6% 500 ml,"500 ML, 6%",Pharmacological Agent,Hydroxyethyl starch
Vomibreak 30 Tab,,,Oral tablet formulation
Vomidoxine 30 mg 6 Suppositories,30 MG,Prokinetic,Metoclopramide
Vomifraton 4 Mg / 2 Ml 5 Amp,"4 MG, 2 ML, 2 ML",,Pharmaceutical preparation
Vomifraton 8 mg / 4 ml 5,"8 MG, 4 ML",Prokinetic,Metoclopramide
Vomistop 10,,Prokinetic,Metoclopramide
Vomistop 10 Cap,,,Oral capsule formulation
Vomitrenat 20 / 20 mg 30 Extended Release Film Coated,20 MG,Pharmacological Agent,Domperidone
Vonacidan 10 mg 20,10 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonacidan 20 mg 20,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonacidan 20 mg 28,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonafut 10 mg 20 Film Coated,10 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonafut 20 mg 20 Film Coated,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonalei Bacterial Vaginosis Cream 30 gm,30 G,Antifungal Agent,Antifungal cream
Vonalei Candidiasis Cream 30 mg,30 MG,Antifungal Agent,Antifungal cream
Vonanavy 20 mg 10 Film Coated,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonaspire 10 Mg 14 Tab,10 MG,,Oral tablet formulation
Vonaspire 20 mg 14,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vondalous 20 mg 20,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonogastric 20 Mg Odt 20 Tab,20 MG,,Oral tablet formulation
Vonopep 20 mg 20,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonopramer 20 mg 30,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonopravin 10 mg 28,10 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonopravin 20 mg 28,20 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonseca 10 mg 14,10 MG,"Acid reflux, Stomach ulcers, GERD",Omeprazole
Vonseca 20 Mg 14 Tab (605389),20 MG,,Oral tablet formulation
Vorek 50 Gm Cream #,"50 G, 50 G",,Topical cream formulation
Vorek Cream 50 gm,50 G,Pharmacological Agent,Topical cream
Vorifungin 200 mg Vial,200 MG,Antifungal (Azole),Voriconazole
Vortoxicalm 15 mg 20 Film Coated,15 MG,Pharmacological Agent,Vortioxetine
Vortoxicalm 20 mg 20 Film Coated,20 MG,Pharmacological Agent,Vortioxetine
Vortoxicalm 5 mg 20 Film Coated,5 MG,Pharmacological Agent,Vortioxetine
Votriaxone 1 Gm I.m 1 Vial + Amp #,"1 G, 1 G",,Parenteral formulation
Votrient 200 mg 30,200 MG,Pharmacological Agent,Pazopanib
Votrient 400 mg 30,400 MG,Pharmacological Agent,Pazopanib
Voxazoldin 600 mg 10,600 MG,Pharmacological Agent,Linezolid
Voxazoldin Vial 100 ml,100 ML,Pharmacological Agent,Linezolid
Vulga Anti-Acne Cream 30 gm,30 G,Pharmacological Agent,Acne treatment cream
Wadibradin 5 Mg 20 Tab,5 MG,,Oral tablet formulation
Wadibradin 7.5 mg 20 Film Coated,7.5 MG,Anticoagulant (Coumarin),Warfarin
Warnex Vitamin D3 Oral,,Vitamin D3,Cholecalciferol
Water For Inj 5 Ml (2206),"5 ML, 5 ML",,Pharmaceutical preparation
Weiser Salicylic Soap 45 gm,45 G,Pharmacological Agent,Salicylic acid soap
Wellbutrin - S R - 150 Mg 30 Tab,150 MG,,Oral tablet formulation
Wellfemme Cal 30 Film Coated,,Nutritional supplement,Calcium supplement
Wellinta - S R - 150 Mg 30 Tab,150 MG,,Oral tablet formulation
Wellinta SR 150 mg 30 Film Coated,150 MG,Pharmacological Agent,Mirtazapine
Welljen ASU 30,,Nutritional supplement,Joint supplement
Wellkid Multi-Vitamin 30 Chewable Tab (Xx),,Vitamin Supplement,Oral tablet formulation
Wellkid Multivitamin Liquid 150 ml,150 ML,Nutritional supplement,Multivitamins
Wellkid Syrup 150 Ml,"150 ML, 150 ML",,Oral liquid formulation
Wellman 30 Tab (Xx),,,Oral tablet formulation
Wellman Original 30,,Nutritional supplement,Multivitamin supplement
Wellmetazone 0.1 % Cream 40 gm,"40 G, 0.1%",Corticosteroid,Hydrocortisone cream
Wellmetazone 0.1% 40 Gm Cream,"40 G, 40 G, 0.1%",,Topical cream formulation
Wellness 20,,Nutritional supplement,Vitamin supplement
Wellocryptase 60 ml,60 ML,Nutritional supplement,Enzyme supplement
Wellofung 2% 40 Gm Cream,"40 G, 40 G, 2%",,Topical cream formulation
Wellssage Freeze Massage Gel 50 gm,50 G,Pharmacological Agent,Massage gel
Wellssage Joint 30 Film Coated,,Nutritional supplement,Joint supplement
Wellwoman ( Original ) 30 Cap (Xx),,,Oral capsule formulation
Wellwoman Original 60,,Nutritional supplement,Multivitamin supplement
Wesaya Hair Nourishing Oil 200 Ml,"200 ML, 200 ML",,Pharmaceutical preparation
Westabreath 500 Mcg 20 Tab,500 MCG,,Oral tablet formulation
Westabreath 500 mg 20,500 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Westair 4 mg 14 Sachets,4 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Westgrelor 90 mg 10,90 MG,Pharmacological Agent,Ticagrelor
Westoflow Orange Flavor 120 ml Suspension,120 ML,Pharmacological Agent,Expectorant syrup
Westoxetin 30 mg 3,30 MG,SSRI Antidepressant,Fluoxetine
Westrecta 10 mg 4,10 MG,SSRI Antidepressant,Fluoxetine
Wezi 10 Sachets,,Nutritional supplement,Probiotic supplement
Wezylock,,Nutritional supplement,Probiotic supplement
WFS Plus 180 Vegetable,,Nutritional supplement,Vegetable supplement
Whey Protein 100% Isolate (Nutrition Hub) 1000 Gm Powder,"1000 G, 1000 G, 100%",,Pharmaceutical preparation
White Nose Relif Wipes Menthol 10 Pieces,,Pharmacological Agent,Nasal relief wipes
White Ppt 20 Gm Oint مرهم راسب ابيض,"20 G, 20 G",,Pharmaceutical preparation
White Ppt 20 Gm Oint مرهم راسب ابيض ثرى ام,"20 G, 20 G",,Pharmaceutical preparation
Whitnino Oral,,Nutritional supplement,Vitamin supplement
Wideprex 100 Mg / 5 Ml Susp 60 Ml,"100 MG, 5 ML, 60 ML, 5 ML, 60 ML",,Pharmaceutical preparation
Wideprex 100 mg/5 ml Powder For Oral Suspention 30 ml,"100 MG, 5 ML, 30 ML",Beta-lactam Antibiotic,Ampicillin
Wiferment 10,,Nutritional supplement,Enzyme supplement
Wikera Massage Gel 70 gm,70 G,Pharmacological Agent,Massage gel
Willi D3 Oral,,Vitamin D3,Cholecalciferol
Wincef 0.5 Gm 1 Vial,"0.5 G, 0.5 G",,Parenteral formulation
Wincef 1 Gm 1 Vial #,"1 G, 1 G",,Parenteral formulation
Wincef 1000 mg 1 Vial,1000 MG,Cephalosporin Antibiotic,Cefuroxime
Wincef 2 gm 1 Vial,2 G,Cephalosporin Antibiotic,Cefuroxime
Windato Skin Spary 50 ml,50 ML,Pharmacological Agent,Topical spray
Windipine 10 Mg 30 Tab,10 MG,,Oral tablet formulation
Windipine 5 Mg 30 Tab,5 MG,,Oral tablet formulation
Windy 200 mg 10 Sachets,200 MG,"Mucolytic, Acetaminophen overdose",Acetylcysteine
Windy 200 Mg Eff 10 Sachets,200 MG,,Pharmaceutical preparation
Winpenem 0.5 gm I.V Injection 1 Vial,0.5 G,Pharmacological Agent,Imipenem
Winpenem 1 gm I.V Injection 1 Vial,1 G,Pharmacological Agent,Imipenem
Winterrest Cream 100 gm,100 G,Pharmacological Agent,Topical cream
Winterrest Cream 50 gm,50 G,Pharmacological Agent,Topical cream
Wintriaxone 1 Gm I.m 1 Vial,"1 G, 1 G",,Parenteral formulation
Wintriaxone 1 Gm I.v 1 Vial,"1 G, 1 G",,Parenteral formulation
Wintriaxone 1000 mg (I.M) Vial,1000 MG,Pharmacological Agent,Ceftriaxone
Wintriaxone 1000 mg I.V Vial,1000 MG,Pharmacological Agent,Ceftriaxone
Wintriaxone 500 mg (I.M) Vial,500 MG,Pharmacological Agent,Ceftriaxone
Wintriaxone 500 Mg I.m 1 Vial #,500 MG,,Parenteral formulation
Winzoxib 120 mg 7,120 MG,Pharmacological Agent,Etoricoxib
Winzoxib 60 Mg 20 Tab (613282),60 MG,,Oral tablet formulation
Winzoxib 60 mg 30,60 MG,Pharmacological Agent,Etoricoxib
Winzoxib 90 mg 20,90 MG,Pharmacological Agent,Etoricoxib
Winzoxib 90 mg 30,90 MG,Pharmacological Agent,Etoricoxib
Wolsow Massage Cream 50 gm,50 G,Pharmacological Agent,Massage cream
Woody Massage Gel 60 gm,60 G,Pharmacological Agent,Massage gel
Wopiron,,Pharmacological Agent,Ferrous sulfate
Wouncure Topical Powder 10 gm,10 G,Pharmacological Agent,Topical powder
Wouncure Topical Powder 20 gm,20 G,Pharmacological Agent,Topical powder
X - Tension 150 Mg 28 Tab #,150 MG,,Oral tablet formulation
X - Tension 300 Mg 28 Tab,300 MG,,Oral tablet formulation
X - Tension Plus 150 / 12.5 Mg 28 Tab,12.5 MG,,Oral tablet formulation
X - Tension Plus 300 / 12.5 Mg 28 Tab,12.5 MG,,Oral tablet formulation
X-Ade 16,,Nutritional supplement,Vitamin supplement
X-Tension 150 mg 28,150 MG,Nutritional supplement,Vitamin supplement
X-Tension 300 mg 28,300 MG,Nutritional supplement,Vitamin supplement
X-Tension Plus 150 mg 28,150 MG,Nutritional supplement,Vitamin supplement
Xalacom Eye,,Pharmacological Agent,Latanoprost + Timolol
Xalacom Eye Drops 2.5 Ml,"2.5 ML, 2.5 ML",,Ophthalmic/otic drops
Xalatan 0.005 % Eye-,0.005%,Pharmacological Agent,Latanoprost
Xalatan 0.005% Eye Drops 2.5 Ml,"2.5 ML, 2.5 ML, 0.005%",,Ophthalmic/otic drops
Xalatrex 0.005% Eye Drops 2.5 Ml,"2.5 ML, 2.5 ML, 0.005%",,Ophthalmic/otic drops
Xalatrex Plus Eye,,Pharmacological Agent,Latanoprost + Timolol
Xaltec 5 mg 10,5 MG,Pharmacological Agent,Alfuzosin
